id,td,session,dir,code,sigCode,atr,pnl_pts,reason,entry,exit
1779903683487,2026-05-27,night,long,8,8,67,37,replaced,45031,45068
1779904765021,2026-05-27,night,long,8,8,54,43,replaced,45068,45111
1779905725097,2026-05-27,night,long,8,8,46,17.0,trail,45111,45128.0
1779907105043,2026-05-27,night,long,8,8,40,48.0,trail,45115,45163.0
1779909983481,2026-05-27,night,long,8,8,35,48.0,trail,45207,45255.0
1779911305004,2026-05-27,night,long,8,8,39,-79.0,loss,45234,45155.0
1779954503513,2026-05-28,night,long,8,8,89,100.0,trail,44040,44140.0
1779956185061,2026-05-28,night,long,8,8,67,30,replaced,44136,44166
1779957124172,2026-05-28,night,long,8,8,69,-15,replaced,44166,44151
1779958084165,2026-05-28,night,long,8,8,55,125.0,profit,44151,44276.0
1779959043339,2026-05-28,night,long,2,2,55,-101.0,loss,44277,44176.0
1779960423337,2026-05-28,night,long,1,1,47,-105.0,loss,44235,44130.0
1779965463367,2026-05-28,night,short,4,4,53,6,replaced,44075,44069
1779969003359,2026-05-28,night,long,8,8,54,19.0,trail,44206,44225.0
1779973204115,2026-05-28,night,short,3,3,59,-83.0,loss,44448,44531.0
1779975063242,2026-05-28,night,long,2,2,60,-91.0,loss,44557,44466.0
1779977582136,2026-05-28,night,long,2,2,125,75.0,trail,44585,44660.0
1779980702162,2026-05-28,night,short,6,6,91,-143.0,loss,44740,44883.0
1780021502217,2026-05-29,day,long,8,8,118,121.0,trail,45108,45229.0
1780026482125,2026-05-29,day,long,1,1,62,140.0,profit,45265,45405.0
1780029541895,2026-05-29,day,long,2,2,52,39.0,trail,45389,45428.0
1780030861913,2026-05-29,day,long,1,1,54,-72.0,loss,45425,45353.0
1780043692984,2026-05-29,night,long,1,1,44,99.0,profit,45368,45467.0
1780045912952,2026-05-29,night,long,2,2,46,34.0,trail,45510,45544.0
1780048373772,2026-05-29,night,long,8,8,58,-86.0,loss,45522,45436.0
1780054432983,2026-05-29,night,short,4,4,50,-74.0,loss,45361,45435.0
1780063192989,2026-05-29,night,long,8,8,85,-7,loss,45399,45392
