id,td,session,dir,code,sigCode,atr,pnl_pts,reason,entry,exit
1779786517406,2026-05-26,night,long,8,,,57.0,trail,43992,44049.0
1779787776999,2026-05-26,night,long,1,,,12,replaced,44037,44049
1779788737251,2026-05-26,night,long,8,,,14.0,trail,44049,44063.0
1779789877522,2026-05-26,night,long,8,,,83.0,profit,44066,44149.0
1779791136995,2026-05-26,night,short,3,,,-41.0,loss,44139,44180.0
1779800437215,2026-05-26,night,long,8,,,-34.0,loss,44166,44132.0
1779802416996,2026-05-26,night,long,2,,,60.0,profit,44200,44260.0
1779803377656,2026-05-26,night,long,2,,,-87.0,loss,44491,44404.0
1779804337058,2026-05-26,night,long,8,,,108,replaced,44302,44410
1779805297403,2026-05-26,night,long,8,,,60,reversed,44410,44470
1779806257498,2026-05-26,night,short,3,,,61.0,trail,44470,44409.0
1779810764021,2026-05-26,night,short,4,,,45.0,trail,44300,44255.0
1779815984016,2026-05-26,night,long,8,,,31,replaced,44380,44411
1779816945079,2026-05-26,night,long,8,,,9,replaced,44411,44420
1779818145017,2026-05-26,night,long,8,,,21.0,trail,44420,44441.0
1779820124016,2026-05-26,night,long,8,,,7,reversed,44439,44446
1779823725020,2026-05-26,night,short,6,,,-23,reversed,44446,44469
1779824805040,2026-05-26,night,long,8,,,-39.0,loss,44469,44430.0
1779844544064,2026-05-27,day,short,3,,,-174.0,loss,44946,45120.0
1779848144054,2026-05-27,day,long,1,,,12,replaced,44975,44987
1779849047393,2026-05-27,day,long,8,,,216.0,profit,44987,45203.0
1779850124016,2026-05-27,day,long,2,,,-140.0,loss,45173,45033.0
1779854624035,2026-05-27,day,short,4,,,178.0,profit,44910,44732.0
1779858345082,2026-05-27,day,short,4,,,-192.0,loss,44618,44810.0
1779867046331,2026-05-27,night,long,8,,,-89.0,loss,44787,44698.0
1779868485045,2026-05-27,night,long,8,,,50.0,trail,44768,44818.0
1779869505041,2026-05-27,night,long,8,,,122.0,profit,44818,44940.0
1779872732273,2026-05-27,night,long,8,,,82,profit,44937,45019
1779873872273,2026-05-27,night,long,2,,,49.0,trail,45009,45058.0
1779875372268,2026-05-27,night,short,3,,,-81.0,loss,45077,45158.0
1779877592952,2026-05-27,night,short,3,,,45.0,trail,45195,45150.0
1779879752276,2026-05-27,night,long,2,,,42.0,trail,45258,45300.0
1779881072283,2026-05-27,night,long,2,,,4,reversed,45372,45376
1779882992275,2026-05-27,night,short,3,,,-81.0,loss,45444,45525.0
1779899123471,2026-05-27,night,long,8,,,88.0,trail,45029,45117.0
1779900983493,2026-05-27,night,long,8,,,-132.0,loss,45050,44918.0
1779903683487,2026-05-27,night,long,8,,,37,replaced,45031,45068
1779904765021,2026-05-27,night,long,8,,,43,replaced,45068,45111
1779905725097,2026-05-27,night,long,8,,,17.0,trail,45111,45128.0
1779907105043,2026-05-27,night,long,8,,,48.0,trail,45115,45163.0
1779909983481,2026-05-27,night,long,8,,,48.0,trail,45207,45255.0
1779911305004,2026-05-27,night,long,8,,,-79.0,loss,45234,45155.0
1779954503513,2026-05-28,night,long,8,,,100.0,trail,44040,44140.0
1779956185061,2026-05-28,night,long,8,,,30,replaced,44136,44166
1779957124172,2026-05-28,night,long,8,,,-15,replaced,44166,44151
1779958084165,2026-05-28,night,long,8,,,125.0,profit,44151,44276.0
1779959043339,2026-05-28,night,long,2,,,-101.0,loss,44277,44176.0
1779960423337,2026-05-28,night,long,1,,,-105.0,loss,44235,44130.0
