id,td,session,dir,code,sigCode,atr,pnl_pts,reason,entry,exit
1780537534985,2026-06-04,day,short,4,4,124,78,replaced,46358,46280
1780539574355,2026-06-04,day,short,4,4,119,-178.0,loss,46213,46391.0
1780544554148,2026-06-04,day,long,8,8,70,52.0,trail,46447,46499.0
1780547434481,2026-06-04,day,long,8,8,49,33.0,trail,46492,46525.0
1780549294144,2026-06-04,day,long,8,8,53,-79.0,loss,46494,46415.0
1780550194984,2026-06-04,day,short,4,4,60,133.0,profit,46385,46252.0
1780560040987,2026-06-04,night,short,4,4,49,111.0,profit,46259,46148.0
1780578042964,2026-06-04,night,long,8,8,54,35.0,trail,45785,45820.0
1780579594149,2026-06-04,night,long,8,8,46,-69.0,loss,45805,45736.0
1780584154314,2026-06-04,night,long,8,8,99,155.0,trail,45800,45955.0
1780586794146,2026-06-04,night,short,3,3,84,85,reversed,46170,46085
1780588174436,2026-06-04,night,long,8,8,79,178.0,profit,46085,46263.0
1780597581184,2026-06-04,night,short,3,3,40,0,replaced,46466,46466
1780599981144,2026-06-04,night,short,6,6,33,18.0,trail,46509,46491.0
1780629020134,2026-06-05,day,long,8,8,107,-160.0,loss,45625,45465.0
1780631480158,2026-06-05,day,short,4,4,97,15,replaced,45218,45203
1780633401143,2026-06-05,day,short,4,4,107,29.0,trail,45211,45182.0
1780651520287,2026-06-05,night,long,8,8,70,-105.0,loss,45208,45103.0
1780654101175,2026-06-05,night,long,8,8,51,60.0,trail,45156,45216.0
1780655300112,2026-06-05,night,long,8,8,43,18.0,trail,45207,45225.0
1780656260328,2026-06-05,night,long,8,8,38,-57.0,loss,45217,45160.0
1780658121136,2026-06-05,night,short,4,4,37,40.0,trail,45136,45096.0
1780660400145,2026-06-05,night,short,4,4,55,48.0,trail,45048,45000.0
1780892833192,2026-06-08,day,short,4,4,92,-138.0,loss,43305,43443.0
1780896373074,2026-06-08,day,short,4,4,120,57.0,trail,43279,43222.0
1780905793233,2026-06-08,night,long,8,8,106,47.0,trail,43674,43721.0
1780907173210,2026-06-08,night,long,8,8,92,17.0,trail,43744,43761.0
1780912874132,2026-06-08,night,long,8,8,76,40,replaced,43818,43858
1780915334024,2026-06-08,night,long,1,1,66,-100.0,loss,43858,43758.0
1780917062735,2026-06-08,night,long,1,1,63,143.0,profit,43902,44045.0
1780918382698,2026-06-08,night,long,2,2,70,-105.0,loss,44124,44019.0
1780929902743,2026-06-08,night,long,8,8,120,75.0,trail,44122,44197.0
1780932482736,2026-06-08,night,long,8,8,91,-138.0,loss,44191,44053.0
1780944542794,2026-06-08,night,long,8,8,57,-115.0,loss,44060,43945.0
1780966803302,2026-06-09,day,short,4,4,98,-146.0,loss,43772,43918.0
1780973462715,2026-06-09,day,long,8,8,103,35.0,trail,44338,44373.0
1780974482744,2026-06-09,day,long,8,8,92,62.0,trail,44397,44459.0
1780975502714,2026-06-09,day,long,8,8,73,165.0,profit,44448,44613.0
1780976882708,2026-06-09,day,short,3,3,70,73.0,trail,44644,44571.0
1780997532456,2026-06-09,night,long,8,8,55,-44,loss,44720,44676
1780998972532,2026-06-09,night,long,8,8,48,16.0,trail,44775,44791.0
1781010912773,2026-06-09,night,long,8,8,49,-11,loss,44710,44699
1781011992465,2026-06-09,night,long,2,2,62,6.0,trail,44820,44826.0
1781012952443,2026-06-09,night,long,2,2,101,-152.0,loss,45050,44898.0
